Stars,Finance,Tech,Business
0,785,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,2,0,0
0.6,0,0,0
0.7,0,0,1
0.8,0,0,0
0.9,0,0,0
1,31,0,0
1.2,2,0,1
1.3,0,1,0
1.4,2,4,1
1.5,6,2,1
1.6,2,6,2
1.7,2,4,3
1.8,4,4,2
1.9,3,9,4
2,12,7,1
2.1,5,11,12
2.2,7,15,3
2.3,6,14,11
2.4,12,20,12
2.5,33,38,29
2.6,16,43,27
2.7,24,56,35
2.8,35,71,51
2.9,32,83,46
3,89,100,54
3.1,61,134,101
3.2,69,161,117
3.3,64,199,160
3.4,100,234,228
3.5,151,330,264
3.6,174,368,312
3.7,190,422,416
3.8,217,483,494
3.9,267,537,571
4,371,680,695
4.1,353,728,814
4.2,382,833,931
4.3,448,972,1012
4.4,422,968,1058
4.5,456,896,901
4.6,319,728,648
4.7,222,464,439
4.8,138,229,236
4.9,71,90,146
5,302,20,131
